Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-05,Gujarat,Elephant Yam,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Gujarat,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-05,Gujarat,French Beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-05,Gujarat,Garlic,168,193 - 213,202 - 277,1kg,N/A
2024-05-05,Gujarat,Ginger,110,127 - 140,132 - 182,1kg,N/A
2024-05-05,Gujarat,Onion Green,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Gujarat,Green Peas,46,53 - 58,55 - 76,1kg,N/A
2024-05-05,Gujarat,Ivy Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-05,Gujarat,Lemon (Lime),71,82 - 90,85 - 117,1kg,N/A
2024-05-05,Gujarat,Mango Raw,32,37 - 41,38 - 53,1kg,N/A
2024-05-05,Gujarat,Mint Leaves,4,5 - 5,5 - 7,1kg,N/A
2024-05-05,Gujarat,Mushroom,81,93 - 103,97 - 134,1kg,N/A
2024-05-05,Gujarat,Mustard Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-05,Gujarat,Ladies Finger,37,43 - 47,44 - 61,1kg,N/A
2024-05-05,Gujarat,Pumpkin,18,21 - 23,22 - 30,1kg,N/A
2024-05-05,Gujarat,Radish,27,31 - 34,32 - 45,1kg,N/A
2024-05-05,Gujarat,Ridge Gourd,29,33 - 37,35 - 48,1kg,N/A
2024-05-05,Gujarat,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,N/A
2024-05-05,Gujarat,Snake Gourd,23,26 - 29,28 - 38,1kg,N/A
2024-05-05,Gujarat,Sorrel Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-05,Gujarat,Spinach,11,13 - 14,13 - 18,1kg,N/A
2024-05-05,Gujarat,Sweet Potato,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Gujarat,Onion Big,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Gujarat,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-06,Gujarat,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Gujarat,Green Chilli,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Gujarat,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-06,Gujarat,Potato,33,38 - 42,40 - 54,1kg,N/A
2024-05-06,Gujarat,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-06,Gujarat,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-06,Gujarat,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-06,Gujarat,Ash gourd,21,24 - 27,25 - 35,1kg,N/A
2024-05-06,Gujarat,Baby Corn,60,69 - 76,72 - 99,1kg,N/A
2024-05-06,Gujarat,Banana Flower,16,18 - 20,19 - 26,1kg,N/A
2024-05-06,Gujarat,Capsicum,43,49 - 55,52 - 71,1kg,N/A
2024-05-06,Gujarat,Bitter Gourd,31,36 - 39,37 - 51,1kg,N/A
2024-05-06,Gujarat,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-06,Gujarat,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-06,Gujarat,Broad Beans,30,35 - 38,36 - 50,1kg,N/A
2024-05-06,Gujarat,Cabbage,20,23 - 25,24 - 33,1kg,N/A
2024-05-06,Gujarat,Carrot,46,53 - 58,55 - 76,1kg,N/A
2024-05-06,Gujarat,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-06,Gujarat,Cluster beans,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Gujarat,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-06,Gujarat,Colocasia Leaves,16,18 - 20,19 - 26,1kg,N/A
2024-05-06,Gujarat,Colocasia,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Gujarat,Coriander Leaves,6,7 - 8,7 - 10,1kg,N/A
2024-05-06,Gujarat,Corn,26,30 - 33,31 - 43,1kg,N/A
2024-05-06,Gujarat,Cucumber,24,28 - 30,29 - 40,1kg,N/A
2024-05-06,Gujarat,Curry Leaves,30,35 - 38,36 - 50,1kg,N/A
2024-05-06,Gujarat,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-06,Gujarat,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-06,Gujarat,Brinjal,22,25 - 28,26 - 36,1kg,N/A
2024-05-06,Gujarat,Brinjal (Big),26,30 - 33,31 - 43,1kg,N/A
